num1,city,gu,roadname,where,address,latitude,longitude
대전-중구-149,대전광역시,중구, 계백로 1686번길 16 ,한신아파트 101동 앞,대전광역시 중구 계백로 1686번길 16 한신아파트 101동 앞,36.32064003,127.4064548
대전-중구-150,대전광역시,중구, 게백로1712 , 기동교봉사회관 앞 승강장,대전광역시 중구 게백로1712 기동교봉사회관 앞 승강장,36.32149003,127.4095205
대전-중구-151,대전광역시,중구, 서문로 47 , 대전국제통상고 앞 승강장,대전광역시 중구 서문로 47 대전국제통상고 앞 승강장,36.31324103,127.4083063
대전-중구-152,대전광역시,중구, 서문로 32 ,한밭우성아파트 앞 승강장,대전광역시 중구 서문로 32 한밭우성아파트 앞 승강장,36.30988063,127.4081428
대전-중구-153,대전광역시,중구, 계룡로 910 , KT문화빌딩 앞 승강장,대전광역시 중구 계룡로 910 KT문화빌딩 앞 승강장,36.32132123,127.4138522
대전-중구-154,대전광역시,중구, 계룡로 942 ,대전중앙교회 앞 승강장,대전광역시 중구 계룡로 942 대전중앙교회 앞 승강장,36.31898363,127.4167052
대전-중구-155,대전광역시,중구, 문화로 178 ,앞 승강장,대전광역시 중구 문화로 178 앞 승강장,36.31446023,127.404917
대전-중구-156,대전광역시,중구, 문화로 175 ,앞 승강장,대전광역시 중구 문화로 175 앞 승강장,36.31456443,127.4047246
대전-중구-157,대전광역시,중구, 계룡로 911 ,투썸플레이스 앞,대전광역시 중구 계룡로 911 투썸플레이스 앞,36.32095503,127.4144998
대전-중구-158,대전광역시,중구, 중앙로 16번길 5 ,대전병무청 앞 승강장,대전광역시 중구 중앙로 16번길 5 대전병무청 앞 승강장,36.32274173,127.4145708
대전-중구-159,대전광역시,중구, 문화로 218번길 6 , 앞 승강장,대전광역시 중구 문화로 218번길 6 앞 승강장,36.31595183,127.4090904
대전-중구-160,대전광역시,중구, 서문로 96 ,센트럴파크2단지 앞 승강장,대전광역시 중구 서문로 96 센트럴파크2단지 앞 승강장,36.31627763,127.4095734
대전-중구-161,대전광역시,중구, 문화로 269 ,중앙유치원 앞 승강장,대전광역시 중구 문화로 269 중앙유치원 앞 승강장,36.31771443,127.4133926
대전-중구-162,대전광역시,중구, 산성로 63 ,중구보건소 앞 승강장,대전광역시 중구 산성로 63 중구보건소 앞 승강장,36.30832863,127.3958577
대전-중구-163,대전광역시,중구, 대둔산로 414 ,산성전통시장 입구 앞 승강장,대전광역시 중구 대둔산로 414 산성전통시장 입구 앞 승강장,36.30615503,127.3867658
대전-중구-164,대전광역시,중구, 대둔산로 184번길 8 ,뿌리공원 입구 승강장,대전광역시 중구 대둔산로 184번길 8 뿌리공원 입구 승강장,36.28641503,127.378553
대전-중구-165,대전광역시,중구, 대둔산로 206 ,근영빌딩 앞 승강장,대전광역시 중구 대둔산로 206 근영빌딩 앞 승강장,36.28855003,127.379997
대전-중구-166,대전광역시,중구, 대둔산로 381 ,한빛프라자 앞 승강장,대전광역시 중구 대둔산로 381 한빛프라자 앞 승강장,36.30337833,127.386232
대전-중구-167,대전광역시,중구, 대둔산로 380 ,앞 승강장,대전광역시 중구 대둔산로 380 앞 승강장,36.30318433,127.3862284
대전-중구-168,대전광역시,중구, 유등천동로 340 ,서남부터미널 앞 승강장,대전광역시 중구 유등천동로 340 서남부터미널 앞 승강장,36.31294143,127.3878428
대전-중구-169,대전광역시,중구, 유등천동로 370 ,강변빌라 앞 승강장,대전광역시 중구 유등천동로 370 강변빌라 앞 승강장,36.31480403,127.3873269
대전-중구-170,대전광역시,중구, 대둔산로 125 ,한빛고등학교 입구 승강장,대전광역시 중구 대둔산로 125 한빛고등학교 입구 승강장,36.28315203,127.376087
대전-중구-171,대전광역시,중구, 사정동 138,앞 승강장,대전광역시 중구 사정동 138,36.29273913,127.3980991
대전-중구-172,대전광역시,중구, 대둔산로 130,LPG충전소 앞 승강장,대전광역시 중구 대둔산로 130 LPG충전소 앞 승강장,36.28315203,127.376087
대전-서구-1,대전광역시,서구,둔산서로105,,대전광역시 서구 둔산서로105,36.35590566264991,127.38405074511063
대전-서구-2,대전광역시,서구,갈마로 174,,대전광역시 서구 괴정동135-2,36.33876107549237,127.37545659204564
대전-서구-3,대전광역시,서구,계룡로 662-1,,대전광역시 서구 용문동256-31,36.33752855048157,127.39439451752831
대전-서구-4,대전광역시,서구,도산로 368,,대전광역시 서구 용문동259-1,36.33781663487973,127.39243001415255
대전-서구-5,대전광역시,서구,동서대로 994,서우@201동 앞,대전광역시 서구 내동167(서우@201동 앞),36.33319549280621,127.37283753519976
대전-서구-6,대전광역시,서구,계룡로 570,,대전광역시 서구 괴정동3-3,36.34240623975413,127.387484950181
대전-서구-7,대전광역시,서구,도산로 379,승강장,대전광역시 서구 용문동594-6(승강장),36.337836076352765,127.39254706658431
대전-서구-8,대전광역시,서구,도산로 227,변동오거리 승강장,대전광역시 서구 도산로 227,36.32818683356984,127.38081296186856
대전-서구-9,대전광역시,서구,갈마로 297,,대전광역시 서구 가장동41-10,36.33068273253332,127.38528513901545
